Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,West Bank and Gaza,PSE,31.783,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,World,WLD,18.88612894,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Yemen, Rep.",YEM,31.636,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zambia,ZMB,38.131,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zimbabwe,ZWE,33.144,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: Gender Statistics,,,,,,
Last Updated: 02/21/2019,,,,,,
